removeOneFail,68
removeTwoFail,85
removeThreeFail,2449
removeThreeNoCallsRemoveOneFail,1045
removeOneWithCondFail,120
callBetTwiceFail,272
callPlaceBetOnceInsufficientContractFail,443
callDummyProc1And2And3CATFail,294
simpleSchemTraceInclusionFail,92
callDummyProc1WithAssumptionsButAssumeNothingFail,97
removeOne,64
removeOneWithCond,125
removeOneLT,77
removeTwo,64
removeThree,1602
placeBetAbsTrSelf,62
placeBetInnerSimple,66
trivialMultipleObsCallee,72
callPlaceBetOnceSufficientContract,143
callPlaceBetDecidedBet,153
simpleSchemTraceInclusion,79
callDummyProc1AssumeNoDummyProc1Before,84
callDummyProc2And1SafeLocalContextOr,143
